word,meaning_japanese,example_sentence,difficulty_level
Brilliant,素晴らしい,"She had a brilliant idea!",初級
Ancient,古代の,"The ancient temple was beautiful.",中級
Swift,速い,"The swift runner won the race.",初級
Courageous,勇敢な,"The courageous hero saved the day.",中級
Challenge,挑戦,"This is a difficult challenge.",初級
Discover,発見する,"Columbus discovered America.",中級
Adventure,冒険,"They went on an amazing adventure.",初級
Magnificent,壮大な,"The view was magnificent.",上級
Achievement,達成,"This is a great achievement.",中級
Wisdom,知恵,"He shared his wisdom with us.",上級

